Name,Geographic Level,,,,,,,
National Capital Region (NCR),Reg,,,,,,,
City of Caloocan,City,,,,,,,
Barangay 211,Bgy,,,,,,,
Barangay 212,Bgy,,,,,,,
Barangay 213,Bgy,,,,,,,
Barangay 214,Bgy,,,,,,,
Barangay 215,Bgy,,,,,,,
Barangay 216,Bgy,,,,,,,
Barangay 217,Bgy,,,,,,,
Barangay 218,Bgy,,,,,,,
Barangay 219,Bgy,,,,,,,
Barangay 220,Bgy,,,,,,,
Barangay 221,Bgy,,,,,,,
Barangay 222,Bgy,,,,,,,
Barangay 223,Bgy,,,,,,,
Barangay 224,Bgy,,,,,,,
Barangay 225,Bgy,,,,,,,
Barangay 226,Bgy,,,,,,,
Barangay 227,Bgy,,,,,,,
Barangay 228,Bgy,,,,,,,
Barangay 229,Bgy,,,,,,,
Barangay 230,Bgy,,,,,,,
Barangay 231,Bgy,,,,,,,
Barangay 232,Bgy,,,,,,,
Barangay 233,Bgy,,,,,,,
Barangay 234,Bgy,,,,,,,
Barangay 235,Bgy,,,,,,,
Barangay 236,Bgy,,,,,,,
Barangay 237,Bgy,,,,,,,
Barangay 238,Bgy,,,,,,,
Barangay 239,Bgy,,,,,,,
Barangay 240,Bgy,,,,,,,
Barangay 241,Bgy,,,,,,,
Barangay 242,Bgy,,,,,,,
Barangay 243,Bgy,,,,,,,
Barangay 244,Bgy,,,,,,,
Barangay 245,Bgy,,,,,,,
Barangay 246,Bgy,,,,,,,
Barangay 247,Bgy,,,,,,,
Barangay 248,Bgy,,,,,,,
Barangay 249,Bgy,,,,,,,
Barangay 250,Bgy,,,,,,,
Barangay 251,Bgy,,,,,,,
Barangay 252,Bgy,,,,,,,
Barangay 253,Bgy,,,,,,,
Barangay 254,Bgy,,,,,,,
Barangay 255,Bgy,,,,,,,
Barangay 256,Bgy,,,,,,,
Barangay 257,Bgy,,,,,,,
Barangay 258,Bgy,,,,,,,
Barangay 259,Bgy,,,,,,,
Barangay 260,Bgy,,,,,,,
Barangay 261,Bgy,,,,,,,
Barangay 262,Bgy,,,,,,,
Barangay 263,Bgy,,,,,,,
Barangay 264,Bgy,,,,,,,
Barangay 265,Bgy,,,,,,,
Barangay 266,Bgy,,,,,,,
Barangay 267,Bgy,,,,,,,
Binondo,SubMun,,,,,,,
Barangay 287,Bgy,,,,,,,
Barangay 288,Bgy,,,,,,,
Barangay 289,Bgy,,,,,,,
Barangay 290,Bgy,,,,,,,
Barangay 291,Bgy,,,,,,,
Barangay 292,Bgy,,,,,,,
Barangay 293,Bgy,,,,,,,
Barangay 294,Bgy,,,,,,,
Barangay 295,Bgy,,,,,,,
Barangay 296,Bgy,,,,,,,
Quiapo,SubMun,,,,,,,
Barangay 383,Bgy,,,,,,,
Barangay 384,Bgy,,,,,,,
Barangay 385,Bgy,,,,,,,
Barangay 386,Bgy,,,,,,,
Barangay 387,Bgy,,,,,,,
Barangay 388,Bgy,,,,,,,
Barangay 389,Bgy,,,,,,,
Barangay 390,Bgy,,,,,,,
Barangay 391,Bgy,,,,,,,
Barangay 392,Bgy,,,,,,,
Barangay 393,Bgy,,,,,,,
Barangay 394,Bgy,,,,,,,
Barangay 306,Bgy,,,,,,,
Barangay 307,Bgy,,,,,,,
Barangay 308,Bgy,,,,,,,
Barangay 309,Bgy,,,,,,,
San Nicolas,SubMun,,,,,,,
Barangay 268,Bgy,,,,,,,
Barangay 269,Bgy,,,,,,,
Barangay 270,Bgy,,,,,,,
Barangay 271,Bgy,,,,,,,
Barangay 272,Bgy,,,,,,,
Barangay 273,Bgy,,,,,,,
Barangay 274,Bgy,,,,,,,
Barangay 275,Bgy,,,,,,,
Barangay 276,Bgy,,,,,,,
Barangay 281,Bgy,,,,,,,
Barangay 282,Bgy,,,,,,,
Barangay 283,Bgy,,,,,,,
Barangay 284,Bgy,,,,,,,
Barangay 285,Bgy,,,,,,,
Barangay 286,Bgy,,,,,,,
Santa Cruz,SubMun,,,,,,,
Barangay 297,Bgy,,,,,,,
Barangay 298,Bgy,,,,,,,
Barangay 299,Bgy,,,,,,,
Barangay 300,Bgy,,,,,,,
Barangay 301,Bgy,,,,,,,
Barangay 302,Bgy,,,,,,,
Barangay 303,Bgy,,,,,,,
Barangay 304,Bgy,,,,,,,
Barangay 305,Bgy,,,,,,,
Barangay 310,Bgy,,,,,,,
Barangay 311,Bgy,,,,,,,
Barangay 312,Bgy,,,,,,,
Barangay 313,Bgy,,,,,,,
Barangay 314,Bgy,,,,,,,
Barangay 315,Bgy,,,,,,,
Barangay 316,Bgy,,,,,,,
Barangay 317,Bgy,,,,,,,
Barangay 318,Bgy,,,,,,,
Barangay 319,Bgy,,,,,,,
Barangay 320,Bgy,,,,,,,
Barangay 321,Bgy,,,,,,,
Barangay 322,Bgy,,,,,,,
Barangay 323,Bgy,,,,,,,
Barangay 324,Bgy,,,,,,,
Barangay 325,Bgy,,,,,,,
Barangay 326,Bgy,,,,,,,
Barangay 327,Bgy,,,,,,,
Barangay 328,Bgy,,,,,,,
Barangay 329,Bgy,,,,,,,
Barangay 330,Bgy,,,,,,,
Barangay 331,Bgy,,,,,,,
Barangay 332,Bgy,,,,,,,
Barangay 333,Bgy,,,,,,,
Barangay 334,Bgy,,,,,,,
Barangay 335,Bgy,,,,,,,
Barangay 336,Bgy,,,,,,,
Barangay 337,Bgy,,,,,,,
Barangay 338,Bgy,,,,,,,
Barangay 339,Bgy,,,,,,,
Barangay 340,Bgy,,,,,,,
Barangay 341,Bgy,,,,,,,
Barangay 342,Bgy,,,,,,,
Barangay 343,Bgy,,,,,,,
Barangay 344,Bgy,,,,,,,
Barangay 345,Bgy,,,,,,,
Barangay 346,Bgy,,,,,,,
Barangay 347,Bgy,,,,,,,
Barangay 348,Bgy,,,,,,,
Barangay 349,Bgy,,,,,,,
Barangay 350,Bgy,,,,,,,
Barangay 351,Bgy,,,,,,,
Barangay 352,Bgy,,,,,,,
Barangay 353,Bgy,,,,,,,
Barangay 354,Bgy,,,,,,,
Barangay 355,Bgy,,,,,,,
Barangay 356,Bgy,,,,,,,
Barangay 357,Bgy,,,,,,,
Barangay 358,Bgy,,,,,,,
Barangay 359,Bgy,,,,,,,
Barangay 360,Bgy,,,,,,,
Barangay 361,Bgy,,,,,,,
Barangay 362,Bgy,,,,,,,
Barangay 363,Bgy,,,,,,,
Barangay 364,Bgy,,,,,,,
Barangay 365,Bgy,,,,,,,
Barangay 366,Bgy,,,,,,,
Barangay 367,Bgy,,,,,,,
Barangay 368,Bgy,,,,,,,
Barangay 369,Bgy,,,,,,,
Barangay 370,Bgy,,,,,,,
Barangay 371,Bgy,,,,,,,
Barangay 372,Bgy,,,,,,,
Barangay 373,Bgy,,,,,,,
Barangay 374,Bgy,,,,,,,
Barangay 375,Bgy,,,,,,,
Barangay 376,Bgy,,,,,,,
Barangay 377,Bgy,,,,,,,
Barangay 378,Bgy,,,,,,,
Barangay 379,Bgy,,,,,,,
Barangay 380,Bgy,,,,,,,
Barangay 381,Bgy,,,,,,,
Barangay 382,Bgy,,,,,,,
Sampaloc,SubMun,,,,,,,
Barangay 395,Bgy,,,,,,,
Barangay 396,Bgy,,,,,,,
Barangay 397,Bgy,,,,,,,
Barangay 398,Bgy,,,,,,,
Barangay 399,Bgy,,,,,,,
Barangay 400,Bgy,,,,,,,
Barangay 401,Bgy,,,,,,,
Barangay 402,Bgy,,,,,,,
Barangay 403,Bgy,,,,,,,
Barangay 404,Bgy,,,,,,,
Barangay 405,Bgy,,,,,,,
Barangay 406,Bgy,,,,,,,
Barangay 407,Bgy,,,,,,,
Barangay 408,Bgy,,,,,,,
Barangay 409,Bgy,,,,,,,
Barangay 410,Bgy,,,,,,,
Barangay 411,Bgy,,,,,,,
Barangay 412,Bgy,,,,,,,
Barangay 413,Bgy,,,,,,,
Barangay 414,Bgy,,,,,,,
Barangay 415,Bgy,,,,,,,
Barangay 416,Bgy,,,,,,,
Barangay 417,Bgy,,,,,,,
Barangay 418,Bgy,,,,,,,
Barangay 419,Bgy,,,,,,,
Barangay 420,Bgy,,,,,,,
Barangay 421,Bgy,,,,,,,
Barangay 422,Bgy,,,,,,,
Barangay 423,Bgy,,,,,,,
Barangay 424,Bgy,,,,,,,
Barangay 425,Bgy,,,,,,,
Barangay 426,Bgy,,,,,,,
Barangay 427,Bgy,,,,,,,
Barangay 428,Bgy,,,,,,,
Barangay 429,Bgy,,,,,,,
Barangay 430,Bgy,,,,,,,
Barangay 431,Bgy,,,,,,,
Barangay 432,Bgy,,,,,,,
Barangay 433,Bgy,,,,,,,
Barangay 434,Bgy,,,,,,,
Barangay 435,Bgy,,,,,,,
Barangay 436,Bgy,,,,,,,
Barangay 437,Bgy,,,,,,,
